user_address,timeStamp,stake_change,cumulative_stake,Year
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-26,1.63958489085814e+19,7.594323833095447e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-27,1.7414902008197257e+19,7.768472853177418e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-29,5.739816299394464e+17,7.774212669476813e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-09-30,1.0392049252146573e+19,7.878133161998279e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-01,4.670127537600766e+18,7.924834437374286e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-02,3.667647255914752e+17,7.928502084630201e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-03,3.861942645066932e+18,7.96712151108087e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-04,1.9535018587283297e+18,7.986656529668154e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-05,5.730031917123249e+17,7.992386561585278e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-06,6.805811425744376e+17,7.999192373011022e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-08,4.2222358435966725e+18,8.041414731446988e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-09,3.6873616831557396e+18,8.078288348278545e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-13,1.4691069229762107e+18,8.092979417508309e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-14,5.741213015973045e+16,8.093553538809906e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-15,1.9230537189742016e+18,8.112784075999647e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-16,1.3827147937068143e+19,8.251055555370329e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-17,3.5674833013693686e+18,8.286730388384023e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-18,4.718908606773643e+19,8.758621249061387e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-19,4.714319858388007e+19,9.230053234900187e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-20,2.03874372025094e+19,9.433927606925281e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-21,1.0011655439873059e+19,9.534044161324012e+20,2021
